Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-06-01 00:00:00-04:00,102.75029827946335,103.1186294555664,102.5901415403816,103.1186294555664,5790900,0.0,0.0
2017-06-02 00:00:00-04:00,103.3348357494746,104.20763381131023,103.15867310345806,104.15959167480469,6562600,0.0,0.0
2017-06-05 00:00:00-04:00,104.07150297909281,104.5119095629346,103.93537952922233,104.3837890625,4634700,0.0,0.0
2017-06-06 00:00:00-04:00,104.23964690245148,105.1604992225069,104.11954157377787,104.7601318359375,5619100,0.0,0.0
2017-06-07 00:00:00-04:00,104.8962438521376,105.28059308025914,104.55993675025104,104.69606018066406,5765200,0.0,0.0
2017-06-08 00:00:00-04:00,104.6960789705139,105.21655172245791,104.0635038311553,104.53593444824219,8101700,0.0,0.0
2017-06-09 00:00:00-04:00,104.39178532269851,105.45676400511279,104.34374319267485,105.32064056396484,5992500,0.0,0.0
2017-06-12 00:00:00-04:00,105.32064414736814,105.56086702390239,105.23256283324702,105.55286407470703,8020700,0.0,0.0
2017-06-13 00:00:00-04:00,105.49682610378588,106.28154290720632,105.21656399344165,105.71302795410156,5733800,0.0,0.0
2017-06-14 00:00:00-04:00,106.10537685163655,106.9461509375217,106.10537685163655,106.3135757446289,7329400,0.0,0.0
2017-06-15 00:00:00-04:00,105.69698823556938,106.777985048003,105.54484667637206,106.52974700927734,5265000,0.0,0.0
2017-06-16 00:00:00-04:00,107.07425328320033,107.77890378314463,106.52974729190444,107.57872009277344,12639600,0.0,0.0
2017-06-19 00:00:00-04:00,107.41857073833903,107.84295921359357,106.89009504535278,107.35452270507812,7488700,0.0,0.0
2017-06-20 00:00:00-04:00,107.2183608022789,107.90699306466823,107.2183608022789,107.47460174560547,5201200,0.0,0.0
2017-06-21 00:00:00-04:00,107.53068145268915,108.18728991778575,107.31449183264043,108.02714538574219,5841100,0.0,0.0
2017-06-22 00:00:00-04:00,108.45952615679458,109.70066753976172,108.31539975763056,108.93997192382812,7311000,0.0,0.0
2017-06-23 00:00:00-04:00,108.45953072103967,109.30830768937328,108.3554435011221,109.24424743652344,9007100,0.0,0.0
2017-06-26 00:00:00-04:00,109.28426728508305,109.62057438935565,109.06006254890131,109.17216491699219,5561800,0.0,0.0
2017-06-27 00:00:00-04:00,109.30029215592424,109.48445772526222,108.0911870954773,108.10719299316406,6120500,0.0,0.0
2017-06-28 00:00:00-04:00,108.85988405842429,109.0600677408481,106.95414371015431,107.15432739257812,6557900,0.0,0.0
2017-06-29 00:00:00-04:00,106.81802675881426,107.08227073207419,105.94522868299008,106.20947265625,5750000,0.0,0.0
2017-06-30 00:00:00-04:00,106.25750341262854,106.65787080470193,105.92119626947608,105.92919921875,5264400,0.0,0.0
2017-07-03 00:00:00-04:00,106.3295593770416,106.75396002455041,106.2174570036173,106.41764068603516,2931000,0.0,0.0
2017-07-05 00:00:00-04:00,106.48168222180396,107.34647704409404,106.03327280689213,107.01016998291016,4302700,0.0,0.0
2017-07-06 00:00:00-04:00,106.9861707504193,107.27443574999558,106.025291491246,106.11337280273438,4282200,0.0,0.0
